City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Russkiy Aktash,RU,55.0384,52.1214,73.71,68,96,2.59,overcast clouds
247,Lafia,NG,8.4833,8.5167,84.65,69,82,6.17,light rain
248,Kruisfontein,ZA,-34.0033,24.7314,59.88,83,99,4.65,overcast clouds
249,Egvekinot,RU,66.3167,-179.1667,51.78,87,40,3.8,scattered clouds
250,Tutzing,DE,47.9094,11.2803,77.56,39,2,13.8,clear sky
251,Asau,RO,46.4333,26.4,67.28,79,100,7.11,overcast clouds
252,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,78,75,10.36,broken clouds
253,Rochegda,RU,62.8,43.25,63.28,62,59,3.78,broken clouds
254,Celestun,MX,20.8667,-90.4,84.7,63,26,5.48,scattered clouds
255,Conakry,GN,9.538,-13.6773,79.68,82,100,11.81,light rain
256,Bereda,ES,43.2686,-7.5406,88.12,35,91,5.41,light rain
257,Buala,SB,-8.145,159.5921,78.31,82,79,1.7,broken clouds
258,Mikuni,JP,36.2171,136.1519,79.56,83,99,5.39,heavy intensity rain
259,Ust-Ilimsk,RU,58.0006,102.6619,57.78,82,88,2.95,overcast clouds
260,Along,IN,28.1667,94.7667,76.12,92,36,1.59,scattered clouds
261,Prior Lake,US,44.7133,-93.4227,81.91,71,0,8.05,clear sky
262,San Cristobal,VE,7.7669,-72.225,80.78,73,100,6.4,overcast clouds
263,Raga,SS,8.4596,25.678,76.01,93,95,3.67,light rain
264,Tynda,RU,55.1667,124.7167,50.29,95,100,3.53,overcast clouds
265,La Paz,BO,-16.5,-68.15,55.38,35,20,5.75,few clouds
266,Itoman,JP,26.1247,127.6694,84.22,79,20,3.44,few clouds
267,Rundu,NA,-17.9333,19.7667,80.46,7,0,4.56,clear sky
268,Tabuk,PH,17.4189,121.4443,75.54,91,100,0.87,overcast clouds
269,Mayumba,GA,-3.432,10.6554,72.28,83,45,8.25,scattered clouds
270,Luangwa,ZM,-15.6167,30.4167,74.95,33,0,3.44,clear sky
271,Harper,LR,4.375,-7.7169,76.68,75,98,10.56,overcast clouds
272,Zyryanka,RU,65.75,150.85,62.76,78,100,5.48,light rain
273,Dunedin,NZ,-45.8742,170.5036,41.81,79,100,7.63,overcast clouds
274,Ukiah,US,39.1502,-123.2078,65.05,71,0,0.0,clear sky
275,Bam,IR,29.106,58.357,96.91,14,18,12.41,few clouds
276,Sangueya,GN,10.7,-14.3667,81.1,85,95,6.64,light rain
277,Wilkinsburg,US,40.4417,-79.882,75.56,70,100,4.61,overcast clouds
278,Asarganj,IN,25.15,86.6833,80.62,81,63,15.37,broken clouds
279,Lasa,IT,46.6166,10.7002,80.69,67,90,3.02,overcast clouds
280,Aklavik,CA,68.2191,-135.0107,45.68,72,84,10.71,broken clouds
281,Ancud,CL,-41.8697,-73.8203,50.23,80,99,9.15,overcast clouds
282,Svetlaya,RU,46.5389,138.3297,64.69,71,19,5.88,few clouds
283,Acapulco,MX,16.8634,-99.8901,80.42,78,100,3.44,overcast clouds
284,Prainha,BR,-1.8,-53.48,93.69,34,61,4.74,broken clouds
285,Nome,US,64.5011,-165.4064,48.27,87,100,11.5,overcast clouds
286,Stokmarknes,NO,68.5646,14.9108,57.18,82,75,17.27,broken clouds
287,Broken Hill,AU,-31.95,141.4333,55.35,48,100,25.34,overcast clouds
288,Bilma,NE,18.6853,12.9164,107.38,13,66,9.44,broken clouds
289,Dawei,MM,14.0833,98.2,75.2,96,100,1.92,overcast clouds
290,Tocopilla,CL,-22.092,-70.1979,66.47,59,10,2.93,clear sky
291,Maniitsoq,GL,65.4167,-52.9,42.71,91,100,7.61,light rain
292,Lagos,NG,6.5833,3.75,81.32,65,69,9.01,broken clouds
293,Ewa Beach,US,21.3156,-158.0072,78.75,68,0,23.02,clear sky
294,Nanakuli,US,21.3906,-158.1547,78.75,62,0,4.61,clear sky
295,Burnie,AU,-41.0667,145.9167,49.95,75,87,12.01,light rain
296,Erzin,TR,36.9559,36.2,78.35,81,73,8.79,broken clouds
297,Souillac,MU,-20.5167,57.5167,69.76,62,51,21.59,broken clouds
298,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,58,48,8.79,scattered clouds
299,Altay,CN,47.8667,88.1167,73.81,36,100,2.35,overcast clouds
300,Lorengau,PG,-2.0226,147.2712,79.81,83,100,6.22,overcast clouds
301,Kazaki,RU,52.6248,38.2649,70.02,75,99,14.0,overcast clouds
302,General Roca,AR,-39.0333,-67.5833,53.37,45,4,6.08,clear sky
303,Coronado,US,32.6859,-117.1831,89.08,79,20,4.61,few clouds
304,Mahajanga,MG,-15.7167,46.3167,77.5,54,3,21.09,clear sky
305,Mitu,CO,1.1983,-70.1733,82.26,77,57,2.8,broken clouds
306,Chinchani,IN,19.8667,72.7,80.28,90,100,24.65,overcast clouds
307,Nyurba,RU,63.2842,118.3319,55.81,88,100,2.53,overcast clouds
308,Troitsko-Pechorsk,RU,62.7084,56.1964,62.06,54,100,11.39,overcast clouds
309,Aiani,GR,40.1667,21.8167,87.53,21,76,3.44,broken clouds
310,Novaya Bryan,RU,51.7159,108.2691,61.48,49,100,2.84,overcast clouds
311,Rapu-Rapu,PH,13.1866,124.1256,82.11,75,93,2.98,overcast clouds
312,Suntar,RU,62.1444,117.6319,58.51,79,93,4.54,overcast clouds
313,Ostrovnoy,RU,68.0531,39.5131,60.57,75,100,15.48,overcast clouds
314,Araceli,PH,10.5529,119.9913,82.09,74,100,3.56,overcast clouds
315,Uchiza,PE,-8.4592,-76.4633,71.01,97,93,1.95,overcast clouds
316,Jinchang,CN,38.4953,102.1739,77.32,64,99,6.15,overcast clouds
317,Vardo,NO,70.3705,31.1107,55.38,94,75,11.5,broken clouds
318,Leningradskiy,RU,69.3833,178.4167,41.49,93,87,6.98,overcast clouds
319,Yar-Sale,RU,66.8333,70.8333,55.22,62,98,4.16,overcast clouds
320,Temyasovo,RU,52.9933,58.1014,64.35,65,31,1.83,scattered clouds
321,Alofi,NU,-19.0595,-169.9187,76.21,77,10,17.63,clear sky
322,Saint Pete Beach,US,27.7253,-82.7412,92.25,65,0,8.05,clear sky
323,Quirinopolis,BR,-18.4483,-50.4517,69.48,31,99,12.66,overcast clouds
324,Conguaco,GT,14.0442,-90.0311,72.12,69,83,3.8,broken clouds
325,Beohari,IN,24.05,81.3833,77.07,91,93,7.54,overcast clouds
326,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,96,4.0,overcast clouds
327,Buribay,RU,51.9617,58.1592,71.8,50,46,7.11,scattered clouds
328,Khash,IR,28.2211,61.2158,86.76,16,100,20.0,overcast clouds
329,Samarai,PG,-10.6167,150.6667,77.99,78,95,15.93,overcast clouds
330,Gornopravdinsk,RU,60.05,69.9,61.88,58,45,5.41,scattered clouds
331,Baherden,TM,38.4362,57.4316,89.98,19,9,12.77,clear sky
332,Murgab,TM,37.4966,61.9714,83.44,17,0,12.06,clear sky
333,Yenagoa,NG,4.9247,6.2642,80.51,77,87,8.5,light rain
334,Tananger,NO,58.9333,5.6,72.12,79,20,12.66,few clouds
335,Huadian,CN,42.9633,126.7478,66.15,98,100,6.49,light rain
336,Broome,US,42.2506,-75.833,75.02,66,100,6.91,overcast clouds
337,Seoul,KR,37.5683,126.9778,74.64,96,99,2.28,overcast clouds
338,Nouadhibou,MR,20.931,-17.0347,76.05,70,1,26.22,clear sky
339,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,56.8,58,6,8.23,clear sky
340,Chipinge,ZW,-20.1883,32.6236,64.2,58,14,5.84,few clouds
341,Virginia Beach,US,36.8529,-75.978,93.02,66,40,10.36,scattered clouds
342,Barletta,IT,41.3118,16.2908,82.67,59,60,9.69,broken clouds
343,Gari,RU,59.4307,62.3497,65.73,79,93,2.57,light rain
344,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,69,20,16.11,few clouds
