City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Labuhan,ID,2022-08-09 19:32:02,-6.8844,112.2051,75.51,89,10,7.99
273,Oktyabrskoye,RU,2022-08-09 19:32:02,43.0645,44.7417,60.94,82,1,8.95
274,Vila Franca Do Campo,PT,2022-08-09 19:32:03,37.7167,-25.4333,73.81,74,61,4.16
275,Port Hardy,CA,2022-08-09 19:30:20,50.6996,-127.4199,60.98,82,20,6.91
276,Mount Gambier,AU,2022-08-09 19:32:56,-37.8333,140.7667,43.9,73,100,9.28
277,Lompoc,US,2022-08-09 19:32:42,34.6391,-120.4579,87.01,69,0,8.05
278,Nuevo Progreso,MX,2022-08-09 19:33:04,23.1667,-97.95,89.89,50,73,4.0
279,Sobolevo,RU,2022-08-09 19:33:04,54.4299,31.8996,61.5,70,100,6.42
280,Ulladulla,AU,2022-08-09 19:33:05,-35.35,150.4667,45.7,85,65,6.31
281,Shubarshi,KZ,2022-08-09 19:33:05,48.5872,57.1869,77.83,44,29,5.75
282,Port Lincoln,AU,2022-08-09 19:30:20,-34.7333,135.8667,52.77,77,100,25.95
283,Smidovich,RU,2022-08-09 19:33:06,48.6,133.8167,54.48,89,54,7.85
284,Hermanus,ZA,2022-08-09 19:33:06,-34.4187,19.2345,53.8,78,67,8.23
285,Udachnyy,RU,2022-08-09 19:33:06,66.4167,112.4,59.45,67,100,4.94
286,Half Moon Bay,US,2022-08-09 19:33:07,37.4636,-122.4286,82.9,63,40,14.97
287,Samarai,PG,2022-08-09 19:33:07,-10.6167,150.6667,78.53,82,92,18.75
288,Port-Gentil,GA,2022-08-09 19:33:08,-0.7193,8.7815,76.96,78,75,10.36
289,Mahebourg,MU,2022-08-09 19:33:08,-20.4081,57.7,68.29,68,75,12.66
290,Muzaffarabad,PK,2022-08-09 19:33:08,34.37,73.4711,76.03,81,3,4.18
291,Havre-Saint-Pierre,CA,2022-08-09 19:31:32,50.2334,-63.5986,68.36,52,0,10.36
292,Walcz,PL,2022-08-09 19:33:09,53.2779,16.4712,61.38,65,40,6.82
293,Tezu,IN,2022-08-09 19:33:09,27.9167,96.1667,76.24,98,100,2.82
